,State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
0,Andaman and Nicobar Islands,Nicobars,31916.0,3798.0040000000004,191.496,12910.022,0.0,0.0,0.0,0.0
1,Andaman and Nicobar Islands,North  and Middle Andaman,117273.0,17317.313,1055.457,18763.68,3282.0,611.5459999999999,72.20400000000001,613.734
2,Andaman and Nicobar Islands,South Andaman,104703.0,11691.835000000001,1221.535,22580.947,151893.0,10835.034,607.572,44454.018000000004
3,Andhra Pradesh,Anantapur,2708991.0,195950.349,26186.912999999997,198659.34,1024293.0,71359.079,4438.603,260170.422
4,Andhra Pradesh,Chittoor,0.0,0.0,0.0,0.0,1187700.0,58197.299999999996,4750.8,322658.5
5,Andhra Pradesh,East Godavari,3598437.0,364641.616,46779.681,563755.13,1219086.0,84929.658,6908.154,354754.026
6,Andhra Pradesh,Guntur,3209631.0,331661.87,44934.834,497492.80500000005,1539339.0,112371.74699999999,9749.146999999999,442816.519
7,Andhra Pradesh,Krishna,2727876.0,280061.936,40008.848000000005,511022.10400000005,1701126.0,113975.44200000001,9639.714,527349.06
8,Andhra Pradesh,Kurnool,2351559.0,211640.31000000003,25867.149,216343.428,920946.0,64466.22,4297.748,223175.914
9,Andhra Pradesh,Prakasam,2620458.0,260298.82799999998,36686.412000000004,244576.08000000002,642267.0,45386.868,4281.78,165704.886
10,Andhra Pradesh,Sri Potti Sriramulu Nellore,2067411.0,192269.22299999997,29632.890999999996,175729.935,793128.0,43886.416000000005,5023.144,208328.28799999997
11,Andhra Pradesh,Srikakulam,2258256.0,241633.392,26346.320000000003,96352.25600000001,449052.0,32032.376,2544.628,98641.75600000001
12,Andhra Pradesh,Visakhapatnam,2156541.0,213497.55899999998,23003.104,153833.258,1981479.0,112283.81000000001,7265.423000000001,551511.655
13,Andhra Pradesh,Vizianagaram,1777374.0,183069.522,19551.114,63393.006,471168.0,31411.2,2984.064,104285.18400000001
14,Andhra Pradesh,West Godavari,3021765.0,302176.5,48348.24,593273.195,745119.0,52406.70300000001,5464.206,220306.851
15,Andhra Pradesh,Y.S.R.,1771767.0,129338.99099999998,15355.314000000002,167727.27599999998,880512.0,54591.744000000006,3228.5440000000003,232161.664
16,Arunachal Pradesh,Anjaw,18075.0,3181.2000000000003,361.5,1668.9249999999997,1284.0,292.32399999999996,0.0,274.776
17,Arunachal Pradesh,Changlang,100266.0,16644.156,568.1740000000001,21824.566000000003,19494.0,2488.7339999999995,51.984,5932.673999999999
18,Arunachal Pradesh,Dibang Valley,6165.0,1021.3350000000002,147.96,1329.585,3525.0,573.4,65.8,965.85
19,Arunachal Pradesh,East Kameng,43509.0,8440.746000000001,377.07800000000003,3190.66,15645.0,2466.6949999999997,130.375,3337.6
20,Arunachal Pradesh,East Siang,58491.0,5459.160000000001,292.455,9241.578,28572.0,5371.535999999999,409.532,8638.268
21,Arunachal Pradesh,Kurung Kumey,55809.0,8315.541,2325.375,4371.705,3276.0,542.724,55.69199999999999,880.1519999999999
22,Arunachal Pradesh,Lohit,100797.0,18177.059,2015.9399999999998,16631.505,34116.0,5310.724,409.39200000000005,10143.824
23,Arunachal Pradesh,Lower Dibang Valley,36000.0,6324.0,384.0,5760.0,11850.0,1275.85,146.15000000000003,3499.7
24,Arunachal Pradesh,Lower Subansiri,54336.0,7281.024,271.68,12334.271999999999,16095.0,1314.425,37.55499999999999,5284.525
25,Arunachal Pradesh,Papum Pare,60924.0,8996.444,812.32,11128.783999999998,90540.0,9476.52,1056.3000000000002,27675.06
26,Arunachal Pradesh,Tawang,32190.0,5032.37,439.92999999999995,7446.620000000001,7356.0,613.0,14.712,2390.7
27,Arunachal Pradesh,Tirap,55260.0,7975.86,184.20000000000002,15767.52,19500.0,3068.0,97.5,5973.5
28,Arunachal Pradesh,Upper Siang,25707.0,2502.1479999999997,34.276,4824.347,6546.0,1036.45,24.002000000000002,1749.9640000000002
29,Arunachal Pradesh,Upper Subansiri,43626.0,9146.918,363.55,5002.447999999999,14016.0,1798.72,56.064,3975.872
30,Arunachal Pradesh,West Kameng,53667.0,8640.387,447.225,6958.821,0.0,0.0,0.0,0.0
31,Arunachal Pradesh,West Siang,66816.0,9176.064,178.17600000000002,15835.392,25509.0,2550.9,178.56300000000002,8128.8679999999995
32,Assam,Baksa,874923.0,187525.163,32663.791999999998,112865.06700000001,10740.0,1904.5600000000002,268.5,3368.7799999999997
33,Assam,Barpeta,1341567.0,282623.448,84071.532,312137.92199999996,156576.0,17640.895999999997,3862.2080000000005,48434.176
34,Assam,Bongaigaon,545769.0,116976.489,22740.375,89506.11600000001,115410.0,11156.3,1654.2099999999998,35238.52
35,Assam,Cachar,1038681.0,197003.16299999997,42239.693999999996,268672.15199999994,266799.0,33083.07600000001,5424.913,85197.814
36,Assam,Chirang,387054.0,74185.34999999999,14062.962,30964.32,34839.0,4587.135,1718.7240000000002,9859.437000000002
37,Assam,Darrang,805551.0,154665.79200000002,47796.026000000005,127814.092,60567.0,6945.016,1736.254,18533.501999999997
38,Assam,Dhemaji,635274.0,140183.796,21175.800000000003,85338.47399999999,49512.0,7971.432,1188.2880000000002,15777.823999999999
39,Assam,Dhubri,1381806.0,295706.484,81065.952,179634.78,181251.0,24045.965999999997,7370.874,48394.01699999999
40,Assam,Dibrugarh,899556.0,162519.784,17091.564000000002,222490.184,231489.0,22917.411,3163.6829999999995,74385.13200000001
41,Assam,Dima Hasao,112830.0,23468.64,1692.45,21475.31,63927.0,9631.668,703.197,20584.494
42,Assam,Goalpara,685830.0,138080.44,28804.86,141966.81,118512.0,18329.856,3160.32,33578.4
43,Assam,Golaghat,878679.0,187451.52,23138.547,190673.34299999996,102570.0,13231.53,1435.98,33403.63
44,Assam,Hailakandi,477645.0,94732.925,26748.120000000003,130397.085,48606.0,4941.61,1231.3519999999999,15894.162
45,Assam,Jorhat,858990.0,174374.97,23192.73,168648.37,242472.0,28530.872,3232.96,76136.208
46,Assam,Kamrup,1171788.0,230842.23599999998,48043.308000000005,222639.71999999997,131547.0,19775.899,3727.1650000000004,34509.163
47,Assam,Kamrup Metropolitan,184002.0,32139.016,6194.7339999999995,39683.098,1100574.0,100152.23400000001,14307.462,355852.26
48,Assam,Karbi Anglong,647073.0,140414.841,9274.713,104610.135,111555.0,19336.2,1338.66,35139.825
49,Assam,Karimganj,785835.0,150880.32,39029.805,219247.96500000003,98085.0,11802.895,2844.4649999999997,31844.930000000004
50,Assam,Kokrajhar,614688.0,112692.8,26636.48,51019.104,51345.0,4244.5199999999995,804.405,15420.614999999998
51,Assam,Lakhimpur,879717.0,190018.872,28444.182999999997,157469.34300000002,104082.0,13079.638,1908.17,32855.218
52,Assam,Morigaon,696618.0,145128.75,34366.488000000005,132821.83200000002,75825.0,10817.699999999999,2325.3,22823.325
53,Assam,Nagaon,2024997.0,400274.407,93149.86200000001,485999.27999999997,372558.0,54269.28200000001,7326.974,118225.07200000001
54,Assam,Nalbari,632118.0,128530.66,20017.07,134219.722,84714.0,12227.054,2400.23,25442.438
55,Assam,Sivasagar,1080546.0,217189.74599999998,21971.102,258970.85800000004,135141.0,16397.108,1756.833,41983.804000000004
56,Assam,Sonitpur,1449975.0,280811.82499999995,49299.149999999994,265828.75,193584.0,20778.016,2903.7599999999998,61301.6
57,Assam,Tinsukia,872112.0,162794.24000000002,14535.2,224714.192,272730.0,33727.61,4545.5,85909.95
58,Assam,Udalguri,803370.0,160406.21,28653.53,111132.84999999999,41505.0,4883.755,996.1200000000001,12423.83
59,Bihar,Araria,1977183.0,424435.284,24385.257000000005,44157.087,132639.0,21443.305,2829.632,24007.658999999996
60,Bihar,Arwal,403002.0,83152.746,10478.052,30225.15,29880.0,5149.32,607.56,3884.4
61,Bihar,Aurangabad,1284873.0,247552.19799999997,28267.206000000002,73666.052,147018.0,20141.466,2646.3240000000005,33324.08
62,Bihar,Banka,1276812.0,257490.41999999998,28941.072000000004,47242.044,55476.0,8672.748,943.092,8284.416
63,Bihar,Begusarai,1783131.0,339389.26700000005,68947.73199999999,151566.135,417744.0,60572.88,13646.304,80346.096
64,Bihar,Bhagalpur,1567581.0,307245.876,45982.376000000004,131154.277,391902.0,55911.352,10058.818,93664.57800000001
65,Bihar,Bhojpur,1303677.0,251175.10199999998,37806.632999999994,89084.595,232104.0,31798.248000000003,6344.1759999999995,53074.448
66,Bihar,Buxar,897756.0,169975.136,31421.46,59850.4,106215.0,14020.380000000001,3115.6400000000003,23792.16
67,Bihar,Darbhanga,2721522.0,478987.87200000003,73481.094,189599.36599999998,286617.0,38215.6,8598.51,64011.130000000005
68,Bihar,Gaya,2088867.0,437269.492,55006.831,114887.68500000001,333846.0,40061.52,5230.254,86577.39600000001
69,Bihar,Gopalganj,1547775.0,273956.175,41274.0,93382.42500000002,114399.0,15100.668000000001,2326.113,19371.564
70,Bihar,Jamui,977727.0,209233.578,26072.72,38783.171,92553.0,15086.139,2622.335,15086.139
71,Bihar,Jehanabad,559980.0,114235.92,16986.06,41625.18,84396.0,11027.744,1941.1080000000002,19045.364
72,Bihar,Kaimur (Bhabua),975429.0,196061.229,21134.295000000002,47145.73499999999,45897.0,5125.165,703.754,10739.898000000001
73,Bihar,Katihar,2004696.0,414303.84,33411.6,84865.464,209514.0,29541.474,4958.498,47839.030000000006
74,Bihar,Khagaria,1121088.0,219733.248,33258.944,81092.032,63021.0,9936.311,1512.5040000000001,13927.640999999998
75,Bihar,Kishanganj,1205379.0,249915.24599999998,14062.755000000001,24911.166,130071.0,20117.647999999997,3425.203,22502.283
76,Bihar,Lakhisarai,527646.0,103594.49799999999,13542.914,47136.376000000004,95289.0,16612.049,2668.092,19566.007999999998
77,Bihar,Madhepura,1458834.0,311217.92,30149.236,54949.414000000004,72000.0,11016.0,2088.0,12312.0
78,Bihar,Madhubani,3142656.0,532156.416,49234.944,181226.496,123702.0,17606.918,2927.6139999999996,22884.870000000003
79,Bihar,Munger,666843.0,130256.666,17560.199,58015.341,257346.0,33626.544,5747.394,63650.244
80,Bihar,Muzaffarpur,2996082.0,603211.176,83890.296,218713.98599999998,362100.0,43693.40000000001,8207.6,93059.69999999998
81,Bihar,Nalanda,1542423.0,306428.03599999996,48843.395000000004,117224.148,307566.0,42854.195999999996,7279.061999999999,75456.192
82,Bihar,Nawada,1138653.0,236460.273,39093.753000000004,65662.323,135969.0,17993.231,2900.672,31408.838999999996
83,Bihar,Pashchim Champaran,2518542.0,531412.362,41136.186,96544.11,289860.0,50145.78,7149.880000000001,52078.18
84,Bihar,Patna,1973973.0,384266.74399999995,59877.181,181605.516,1656309.0,171151.93,28709.356000000003,477569.095
85,Bihar,Purba Champaran,3426780.0,639665.6000000001,63966.55999999999,177050.3,304695.0,43571.385,5789.205,54845.100000000006
86,Bihar,Purnia,2138541.0,464063.39699999994,36355.197,61304.842,257247.0,39530.289000000004,8317.652999999998,50677.659
87,Bihar,Rohtas,1537149.0,295644.99100000004,32792.512,108112.81300000001,287034.0,39993.403999999995,5645.002,65443.75200000001
88,Bihar,Saharsa,1297953.0,278194.593,28554.966,54081.375,114138.0,16397.826,2815.4040000000005,25719.095999999998
89,Bihar,Samastipur,3038937.0,599683.5680000001,98258.96299999999,172206.43000000002,130458.0,16785.596,2826.59,30527.172000000002
90,Bihar,Saran,2103969.0,360480.022,61015.100999999995,124835.49400000002,228897.0,31664.085,6027.621,45016.409999999996
91,Bihar,Sheikhpura,324879.0,64975.799999999996,10179.542,26315.199,73035.0,10882.215,1801.5300000000002,12708.09
92,Bihar,Sheohar,475452.0,94456.46399999999,5388.456,31379.832000000002,22548.0,3382.2000000000003,601.28,2773.404
93,Bihar,Sitamarhi,2421882.0,473881.57800000004,50052.228,150963.978,149010.0,20762.059999999998,3228.55,30050.35
94,Bihar,Siwan,1897542.0,294751.52400000003,51866.147999999994,127767.828,125574.0,14399.151999999998,2553.3379999999997,29886.612000000005
95,Bihar,Supaul,1716861.0,355390.227,28042.063000000002,52078.117,83445.0,14408.17,2169.57,13017.42
96,Bihar,Vaishali,2097951.0,397911.37299999996,86015.99100000001,174829.25,154482.0,22966.324,5458.364,31926.28
97,Chandigarh,Chandigarh,26733.0,4179.259,249.50799999999998,7841.68,868368.0,76995.296,10130.960000000001,253563.45599999998
98,Chhattisgarh,Bastar,949275.0,165173.85,10758.45,43983.075000000004,164682.0,19432.476,1591.926,33485.34
99,Chhattisgarh,Bijapur,151347.0,28503.684999999998,2118.858,1362.123,23826.0,4860.504,246.202,2231.702
100,Chhattisgarh,Bilaspur,1648896.0,324832.512,28580.864,91238.91200000001,564522.0,67930.814,5833.394,123630.318
101,Chhattisgarh,Dakshin Bastar Dantewada,319635.0,53379.045,3409.44,7671.240000000001,93912.0,11050.312,907.8159999999999,15589.392
102,Chhattisgarh,Dhamtari,506067.0,92947.63900000001,7084.938,40822.738,125376.0,16382.464,1462.72,22400.512000000002
103,Chhattisgarh,Durg,1600344.0,279526.75200000004,26672.4,74682.72,1049223.0,103523.33600000001,7694.302000000001,218937.866
104,Chhattisgarh,Janjgir - Champa,1138749.0,223953.97,21256.647999999997,41754.13,183570.0,26801.219999999998,2325.22,27168.36
105,Chhattisgarh,Jashpur,0.0,0.0,0.0,0.0,62166.0,7832.915999999999,248.66400000000002,8744.684000000001
106,Chhattisgarh,Kabeerdham,561933.0,114072.39899999999,11613.282,16857.989999999998,71604.0,8759.556,1217.268,11814.66
107,Chhattisgarh,Korba,619794.0,112389.312,6611.136,24585.162,378165.0,37438.335,2016.88,73868.23
108,Chhattisgarh,Koriya,365556.0,61535.26,2680.744,10357.42,179289.0,22411.125,776.9190000000001,35439.458999999995
109,Chhattisgarh,Mahasamund,824379.0,164875.8,12640.478,41768.536,107322.0,14738.888,1466.734,17922.774
110,Chhattisgarh,Narayanpur,80748.0,15503.616000000002,1184.304,1103.5559999999998,18537.0,3416.9869999999996,135.93800000000002,2731.118
111,Chhattisgarh,Raigarh,1062834.0,203355.572,17005.344,46056.14,199914.0,25189.163999999997,1999.1399999999999,38183.574
112,Chhattisgarh,Raipur,2020497.0,383894.43,39736.441000000006,86881.371,1185003.0,118895.30099999999,11455.028999999999,256750.65000000002
113,Chhattisgarh,Rajnandgaon,940812.0,149589.108,10662.536,58016.74,229584.0,25101.183999999997,1913.2,40712.896
114,Chhattisgarh,Surguja,0.0,0.0,0.0,0.0,195501.0,19159.097999999998,1042.672,39947.371
115,Chhattisgarh,Uttar Bastar Kanker,507573.0,78673.815,5075.73,25040.268000000004,74634.0,9403.883999999998,796.096,15150.702
116,Dadra and Nagar Haveli,Dadra and Nagar Haveli,144663.0,21940.555,385.76800000000003,12778.565,181686.0,12596.896,121.12400000000001,49236.905999999995
117,Daman and Diu,Daman,30018.0,2641.5840000000003,90.05400000000002,5733.437999999999,183219.0,22658.083,366.438,53011.364
118,Daman and Diu,Diu,29364.0,1243.076,29.364,4238.204,27186.0,969.634,18.124,6769.314
119,Delhi,Central,0.0,0.0,0.0,0.0,389794.0,76594.521,6236.704,176966.476
120,Delhi,East,3258.0,72.762,13.032,1065.366,1383396.0,111593.944,8761.508,430697.288
121,Delhi,New Delhi,0.0,0.0,0.0,0.0,105328.0,15167.232000000002,1948.5680000000002,41025.256
122,Delhi,North,13536.0,1141.536,40.608000000000004,4421.76,889677.0,110023.389,10379.565,266606.541
123,Delhi,North East,15978.0,1938.664,149.128,5059.7,1446765.0,171682.78000000003,9645.1,458624.505
124,Delhi,North West,202776.0,31497.872000000003,3041.64,43326.471999999994,2877825.0,329990.6,31656.075,824017.2250000001
125,Delhi,South,8754.0,1205.134,134.228,2643.7079999999996,2184435.0,220627.935,21116.204999999998,640767.6
